,0,1
0,"Laptop Gaming ASUS TUF Gaming A15 FA507NUR cu procesor AMD Ryzen™ 7 7435HS pana la 4.55 GHz, 15.6"", Full HD, IPS, 144Hz, 16GB DDR5, 512GB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Mecha Gray","6.025,80 Lei"
1,"Laptop Gaming Lenovo Legion Pro 5 16IAX10 cu procesor Intel® Core™ Ultra 9 275HX pana la 5.4GHz, 16"" WQXGA, OLED, 165Hz, 32GB DDR5 RAM, 2TB SSD, NVIDIA® GeForce RTX™ 5070 8GB GDDR7, No OS, Eclipse Black, 3y on-site Premium Care","10.599,99 Lei"
2,"Laptop Lenovo IdeaPad Slim 3 15IAN8 cu procesor Intel® Core™ i3-N305 pana la 3.8GHz, 15.6"", Full HD, 8GB LPDDR5 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Arctic Grey","1.549,99 Lei"
3,"Laptop Lenovo IdeaPad Slim 5 16AHP10 cu procesor AMD Ryzen™ 7 8845HS pana la 5.1GHz, 16"" WUXGA, IPS, 32GB DDR5 RAM, 1TB SSD, AMD Radeon™ 780M Graphics, No OS, Luna Grey","3.749,99 Lei"
4,"Laptop Acer Aspire 5 A515-57 cu procesor Intel® Core™ i7-12650H pana la 4.70 GHz, 15.6"", Full HD, IPS, 16GB DDR4 RAM, 1TB SSD, Intel® UHD Graphics, No OS, Iron","4.973,10 Lei"
5,"Laptop ASUS Vivobook 15 A1502VA cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6'', Full HD, IPS, 16GB DDR4 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Cool Silver","2.249,99 Lei"
6,"Laptop Lenovo Gaming 16'' Legion Pro 7 16AFR10H, WQXGA OLED 240Hz, Procesor AMD Ryzen™ 9 9955HX (64M Cache, up to 5.4 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 5070 Ti 12GB, No OS, Eclipse Black","13.655,58 Lei"
7,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Midnight, Tastatura Internationala, Manual RO","5.199,99 Lei"
8,"Laptop ASUS Gaming 16'' TUF A16 FA607NUG, FHD+ 144Hz, Procesor AMD Ryzen™ 7 7445HS (16M Cache, up to 4.7 GHz), 32GB DDR5, 512GB SSD, GeForce RTX 4050 6GB, No OS, Mecha Gray","5.351,33 Lei"
9,"Laptop HP 255 G9 cu procesor AMD Ryzen™ 5 5625U pana la 4.3GHz, 15.6 Full HD, 16GB DDR4 RAM, 512GB SSD, AMD® Radeon Graphics, Free DOS, Dark Ash Silver","2.988,70 Lei"
10,"Laptop Gaming Lenovo LOQ 15IRX10 cu procesor Intel® Core™ i7-13650HX pana la 4.90 GHz, 15.6"", Full HD, IPS, 144Hz, 32GB RAM, 1TB SSD M.2 2242 PCIe, NVIDIA® GeForce RTX™ 5060 8GB GDDR7, No OS","9.970,40 Lei"
11,"Laptop Gaming Lenovo Legion Pro 7 16IAX10H cu procesor Intel® Core™ Ultra 9 275HX pana la 5.4GHz, 16"" WQXGA, OLED, 240Hz, 64GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5070 Ti 12GB GDDR7, No OS, Eclipse Black, 3y on-site Premium Care","14.299,99 Lei"
12,"Laptop HP 250 G10 cu procesor Intel® Core™ i5 1334U pana la 4.6GHz, 15.6'', IPS, Full HD, 16GB DDR4 RAM, 512GB SSD, Intel® Iris® Xe Graphics, Free DOS, Turbo silver","2.099,99 Lei"
13,"Laptop ASUS Vivobook S 14 OLED M5406NA cu procesor AMD Ryzen™ 5 7535HS pana la 4.55GHz, 14.0'', WUXGA, 16GB LPDDR5X, 512GB SSD, AMD Radeon™ Graphics, No OS, Neutral Black","3.999,98 Lei"
14,"Laptop Dell Latitude 3450, 14 inch 1920 x 1080, Intel Core i7-1355U 10 C / 12 T, 1.7 GHz - 5.00 GHz, 12 MB cache, 15 W, 16 GB DDR5, 512 GB SSD, Nvidia GeForce MX 570A, Windows 11 Pro","4.778,98 Lei"
15,"Laptop Lenovo Yoga 7 2-in-1 14ILL10 cu procesor Intel® Core Ultra 7 258V pana la 4.8GHz, 14"" 2.8K, WQXGA+, OLED, 120Hz, Touch, 32GB LPDDR5x RAM, 1TB SSD, Intel® Arc™ Graphics, No OS, Seashell","6.538,66 Lei"
16,"Laptop HP ProBook 460 G11 cu procesor Intel® Core™ Ultra 5 125U pana la 4,3 GHz, 16"" , WUXGA, IPS, 16GB DDR5, 512GB SSD, Intel® UHD Graphics, Free DOS, Silver","3.499,99 Lei"
17,"Laptop Gaming Acer Nitro V16 ANV16-71-7511 cu procesor Intel® Core™ i7-14650HX pana la 5.2GHz, 16'' WUXGA, IPS, 165Hz, 32GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 4060 8GB GDDR6, No OS, Obsidian Black","7.598,80 Lei"
18,"Laptop, Lenovo, ThinkBook 16p G6 ADR, Procesor AMD Ryzen™ 9 8940HX 64M Cache, 5.30 GHz, 16"", WQXGA, IPS, 240Hz, 32GB DDR5, 512GB SSD, NVIDIA GeForce RTX 5060 @8GB, Win 11 Pro, Gri","10.227,10 Lei"
19,"Laptop Lenovo IdeaPad Slim 5 15ARP10 cu procesor AMD Ryzen™ 7 7735HS pana la 4.75GHz, 15.3"" WUXGA, IPS, 16GB LPDDR5x RAM, 512GB SSD, AMD Radeon™ 680M Graphics, No OS, Seafoam Green","2.849,99 Lei"
